SampleID	EdgeA	EdgeB	XEdge	TriangleXAX	L3XAX	
405000	9.00000	1.00000	200.00000	48.00000	2245.00000	
406000	7.00000	1.00000	176.00000	28.00000	1370.00000	
407000	5.00000	1.00000	168.00000	29.00000	893.00000	
408000	8.00000	2.00000	157.00000	32.00000	1228.00000	
409000	7.00000	3.00000	165.00000	35.00000	1494.00000	
410000	6.00000	4.00000	148.00000	14.00000	845.00000	
411000	7.00000	2.00000	153.00000	33.00000	1293.00000	
412000	4.00000	2.00000	142.00000	14.00000	498.00000	
413000	6.00000	0.00000	136.00000	11.00000	528.00000	
414000	9.00000	0.00000	147.00000	26.00000	1018.00000	
415000	6.00000	1.00000	154.00000	23.00000	897.00000	
416000	7.00000	2.00000	156.00000	33.00000	1418.00000	
417000	6.00000	3.00000	162.00000	21.00000	950.00000	
418000	9.00000	1.00000	164.00000	48.00000	1801.00000	
419000	12.00000	1.00000	174.00000	61.00000	2232.00000	
420000	8.00000	1.00000	178.00000	43.00000	1765.00000	
421000	9.00000	1.00000	167.00000	38.00000	1559.00000	
422000	8.00000	3.00000	190.00000	36.00000	1884.00000	
423000	11.00000	2.00000	180.00000	56.00000	2180.00000	
424000	14.00000	4.00000	184.00000	69.00000	2879.00000	
425000	11.00000	1.00000	180.00000	63.00000	2522.00000	
426000	11.00000	4.00000	185.00000	66.00000	2692.00000	
427000	11.00000	3.00000	180.00000	65.00000	2388.00000	
428000	11.00000	4.00000	175.00000	53.00000	2300.00000	
429000	10.00000	5.00000	180.00000	57.00000	2233.00000	
430000	7.00000	4.00000	155.00000	24.00000	1141.00000	
431000	6.00000	2.00000	144.00000	19.00000	721.00000	
432000	7.00000	2.00000	154.00000	24.00000	937.00000	
433000	5.00000	3.00000	158.00000	19.00000	862.00000	
434000	5.00000	1.00000	159.00000	21.00000	762.00000	
435000	5.00000	0.00000	157.00000	24.00000	784.00000	
436000	8.00000	0.00000	159.00000	35.00000	1289.00000	
437000	7.00000	1.00000	164.00000	28.00000	1001.00000	
438000	5.00000	2.00000	146.00000	17.00000	671.00000	
439000	4.00000	2.00000	152.00000	11.00000	436.00000	
440000	7.00000	0.00000	148.00000	24.00000	850.00000	
441000	9.00000	0.00000	163.00000	38.00000	1367.00000	
442000	9.00000	3.00000	175.00000	41.00000	1628.00000	
443000	8.00000	4.00000	195.00000	46.00000	2012.00000	
444000	7.00000	5.00000	194.00000	40.00000	1641.00000	
445000	9.00000	2.00000	188.00000	51.00000	2308.00000	
446000	6.00000	1.00000	177.00000	33.00000	1311.00000	
447000	7.00000	1.00000	176.00000	34.00000	1595.00000	
448000	10.00000	0.00000	179.00000	67.00000	2146.00000	
449000	8.00000	0.00000	166.00000	42.00000	1330.00000	
450000	11.00000	0.00000	177.00000	58.00000	2178.00000	
451000	7.00000	1.00000	154.00000	26.00000	1052.00000	
452000	9.00000	1.00000	170.00000	56.00000	2013.00000	
453000	8.00000	2.00000	171.00000	48.00000	1683.00000	
454000	7.00000	4.00000	166.00000	35.00000	1396.00000	
455000	7.00000	4.00000	170.00000	36.00000	1326.00000	
456000	9.00000	6.00000	150.00000	44.00000	1632.00000	
457000	8.00000	4.00000	156.00000	37.00000	1549.00000	
458000	6.00000	2.00000	169.00000	37.00000	1329.00000	
459000	8.00000	1.00000	167.00000	44.00000	1549.00000	
460000	4.00000	3.00000	169.00000	26.00000	824.00000	
461000	7.00000	2.00000	163.00000	33.00000	1482.00000	
462000	11.00000	1.00000	155.00000	56.00000	1893.00000	
463000	11.00000	2.00000	169.00000	73.00000	2445.00000	
464000	13.00000	1.00000	174.00000	62.00000	2654.00000	
465000	9.00000	2.00000	184.00000	51.00000	2078.00000	
466000	8.00000	2.00000	168.00000	30.00000	1380.00000	
467000	9.00000	2.00000	168.00000	43.00000	1676.00000	
468000	9.00000	2.00000	161.00000	37.00000	1333.00000	
469000	7.00000	2.00000	155.00000	28.00000	1200.00000	
470000	8.00000	3.00000	150.00000	32.00000	1221.00000	
471000	6.00000	2.00000	141.00000	22.00000	695.00000	
